GenAge ID,name,symbol,organism,functions,Entrez gene id,avg lifespan change (max obsv),lifespan effect,longevity influence,observations
1389,Protein required in the Absence of Cin8p,PAC10,Saccharomyces cerevisiae,,852969,20,Decrease,Unannotated,fitness;20.0;;1591;19030232
1390,Pyruvate Dehydrogenase Alpha,PDA1,Saccharomyces cerevisiae,,856925,20,Decrease,Unannotated,fitness;20.0;;1592;19030232
1391,Protein PHosphatase,PPH3,Saccharomyces cerevisiae,,851647,20,Decrease,Unannotated,fitness;20.0;;1593;19030232
1392,Thiamine Pyrophosphate Carrier,TPC1,Saccharomyces cerevisiae,,852988,20,Decrease,Unannotated,fitness;20.0;;1594;19030232
1393,Adenine AminoHydrolase,AAH1,Saccharomyces cerevisiae,,855581,,Increase,Anti-Longevity,fitness;20.0;;1596;19030232
1394,Defective Cell Wall,DCW1,Saccharomyces cerevisiae,,853820,,Increase,Anti-Longevity,anti;;;1597;20421943
1395,FluoroCYtosine resistance,FCY1,Saccharomyces cerevisiae,,856175,,Increase,Anti-Longevity,anti;;;1598;20421943
1396,Hypoxanthine guanine PhosphoribosylTransferase,HPT1,Saccharomyces cerevisiae,,852008,,Increase,Anti-Longevity,anti;;;1599;20421943
1397,Imitation SWitch subfamily,ISW1,Saccharomyces cerevisiae,,852547,,Increase and Decrease,Anti-Longevity,anti;;;1600;20421943|anti;;;1600;20421943
1398,Methylene Tetrahydrafolate Dehydrogenase,MTD1,Saccharomyces cerevisiae,,853955,,Increase,Anti-Longevity,anti;;;1602;20421943
1399,MUddled Meiosis,MUM2,Saccharomyces cerevisiae,,852348,,Increase,Anti-Longevity,anti;;;1603;20421943
1400,Restores Glucose Transport,RGT1,Saccharomyces cerevisiae,,853828,,Increase,Anti-Longevity,anti;;;1604;20421943
1401,Restores Glucose Transport,RGT2,Saccharomyces cerevisiae,,851417,,Increase,Anti-Longevity,anti;;;1605;20421943
1402,Something About Silencing,SAS4,Saccharomyces cerevisiae,,851762,,Increase,Anti-Longevity,anti;;;1606;20421943
1403,homolog of S. pombe SDS23,SDS23,Saccharomyces cerevisiae,,852824,,Increase,Anti-Longevity,anti;;;1608;20421943
1404,Serine HydroxyMethyltransferase,SHM1,Saccharomyces cerevisiae,,852565,,Increase and Decrease,Anti-Longevity,anti;;;1609;20421943|anti;;;1609;20421943
1405,SNF1-Interacting Protein,SIP1,Saccharomyces cerevisiae,,852032,,Increase and Decrease,Unclear,anti;;;1610;20421943|anti;;;1610;20421943
1406,Sucrose NonFermenting,SNF3,Saccharomyces cerevisiae,,851333,,Increase,Anti-Longevity,anti;;;1611;20421943
1407,Sorting NeXin,SNX3,Saccharomyces cerevisiae,,854539,,Increase,Anti-Longevity,anti;;;1612;20421943
1408,Sorting NeXin,SNX41,Saccharomyces cerevisiae,,852035,,Increase,Anti-Longevity,anti;;;1613;20421943
1409,Up in StarVation,USV1,Saccharomyces cerevisiae,,855871,,Increase,Anti-Longevity,anti;;;1614;20421943
1410,Long Chronological Lifespan 3,LCL3,Saccharomyces cerevisiae,,852795,,Increase,Anti-Longevity,anti;;;1615;20421943
1411,Long Chronological Lifespan 2,LCL2,Saccharomyces cerevisiae,,850794,,Increase,Anti-Longevity,anti;;;1616;20421943
1412,ZWischenFerment,ZWF1,Saccharomyces cerevisiae,,855480,,Increase,Anti-Longevity,anti;;;1617;20421943
1413,AuTophaGy related,ATG1,Saccharomyces cerevisiae,,852695,70,Decrease,Unannotated,anti;;;1618;20421943|anti;;;1618;20421943
1414,CYtochrome C,CYC3,Saccharomyces cerevisiae,,851192,20,Decrease,Unannotated,fitness;20.0;;1619;18340043
1415,Enhancer of Gal4 DNA binding,EGD2,Saccharomyces cerevisiae,,856600,20,Decrease,Unannotated,fitness;20.0;;1620;18340043
1416,Nicotinamide Riboside Kinase,NRK1,Saccharomyces cerevisiae,,855594,20,Decrease,Unannotated,fitness;20.0;;1621;18340043
1417,Protein Fatty Acyltransferase,PFA5,Saccharomyces cerevisiae,,852070,20,Decrease,Unannotated,fitness;20.0;;1622;18340043
1418,"Set1c, WD40 repeat protein",SWD1,Saccharomyces cerevisiae,,851265,20,Decrease,Unannotated,fitness;20.0;;1623;18340043
1419,SmY2 Homolog,SYH1,Saccharomyces cerevisiae,,855999,20,Decrease,Unannotated,fitness;20.0;;1625;18340043
1420,hypothetical protein,YMR166C,Saccharomyces cerevisiae,,855202,20,Decrease,Unannotated,fitness;20.0;;1626;18340043
1421,Yeast Protein Kinase,YPK1,Saccharomyces cerevisiae,,853733,20,Decrease,Unannotated,fitness;20.0;;1627;
1422,Ribosomal Protein of the Small subunit,RPS0B,Saccharomyces cerevisiae,,850737,20,Decrease,Unannotated,fitness;20.0;;1628;18340043
1423,Ribosomal Protein of the Small subunit,RPS24B,Saccharomyces cerevisiae,,854741,20,Decrease,Unannotated,fitness;20.0;;1629;18423200
1424,Ribosomal Protein of the Small subunit,RPS27A,Saccharomyces cerevisiae,,853700,20,Decrease,Unannotated,fitness;20.0;;1631;18423200
1425,Ribosomal Protein of the Small subunit,RPS27B,Saccharomyces cerevisiae,,856415,30,Decrease,Unannotated,fitness;20.0;;1632;18423200|fitness;20.0;;1632;18423200
1426,Elongation Factor Two,EFT1,Saccharomyces cerevisiae,,854301,30,Decrease,Unannotated,fitness;20.0;;1633;18423200
1427,Filaments In between Nuclei,FIN1,Saccharomyces cerevisiae,,851708,30,Decrease,Unannotated,fitness;30.0;;1634;19030232
1428,InositolPhosphoTransferase,IPT1,Saccharomyces cerevisiae,,851644,,Increase and Decrease,Anti-Longevity,fitness;30.0;;1635;19030232|fitness;30.0;;1635;19030232
1429,Regulator of Ty1 Transposition,RTT107,Saccharomyces cerevisiae,,856559,30,Decrease,Unannotated,fitness;30.0;;1636;19030232
1430,Salt Induced Protein,SIP18,Saccharomyces cerevisiae,,855213,30,Decrease,Unannotated,fitness;30.0;;1638;19030232
1431,Spore Wall Formation,SWF1,Saccharomyces cerevisiae,,851704,30,Decrease,Unannotated,fitness;30.0;;1639;19030232|fitness;30.0;;1639;19030232
1432,hypothetical protein,YDR089W,Saccharomyces cerevisiae,,851663,30,Decrease,Unannotated,fitness;30.0;;1640;19030232
1433,hypothetical protein,YDR262W,Saccharomyces cerevisiae,,851855,30,Decrease,Unannotated,fitness;30.0;;1641;
1434,Topoisomerase I Damage Affected,TDA5,Saccharomyces cerevisiae,,851146,30,Decrease,Unannotated,fitness;30.0;;1642;
1435,hypothetical protein,YLR460C,Saccharomyces cerevisiae,,851182,30,Decrease,Unannotated,fitness;30.0;;1643;19030232
1436,CATabolite repression,CAT5,Saccharomyces cerevisiae,,854292,50,Decrease,Unannotated,fitness;30.0;;1644;|fitness;30.0;;1644;
1437,Factor-Induced Gene,FIG4,Saccharomyces cerevisiae,,855392,30,Decrease,Unannotated,fitness;30.0;;1645;18340043
1438,Fatty acid OXidation,FOX2,Saccharomyces cerevisiae,,853878,30,Decrease,Unannotated,fitness;30.0;;1646;18340043
1439,Mitochondrial RNA Splicing,MRS4,Saccharomyces cerevisiae,,853926,40,Decrease,Unannotated,fitness;30.0;;1647;18340043|fitness;30.0;;1647;18340043
1440,Vacuolar Membrane Atpase,VMA1,Saccharomyces cerevisiae,,851342,30,Decrease,Unannotated,fitness;30.0;;1648;18340043
1441,cell Wall integrity and Stress response Component,WSC4,Saccharomyces cerevisiae,,856357,30,Decrease,Unannotated,fitness;30.0;;1651;18340043
1442,Yeast Ubiquitin Hydrolase,YUH1,Saccharomyces cerevisiae,,853562,30,Decrease,Unannotated,fitness;30.0;;1652;18340043
1443,Ribosomal Protein of the Small subunit,RPS1B,Saccharomyces cerevisiae,,854939,30,Decrease,Unannotated,fitness;30.0;;1653;18340043
1444,Ribosomal Protein of the Small subunit,RPS24A,Saccharomyces cerevisiae,,856805,30,Decrease,Unannotated,fitness;30.0;;1654;18423200
1445,Bypass of Stop Codon,BSC2,Saccharomyces cerevisiae,,851868,20,Increase,Anti-Longevity,fitness;30.0;;1655;18423200
1446,LYSine requiring,LYS9,Saccharomyces cerevisiae,,855786,,Increase and Decrease,Anti-Longevity,anti;20.0;;1656;19030232|anti;20.0;;1656;19030232|anti;20.0;;1656;19030232
1447,SECretory,SEC28,Saccharomyces cerevisiae,,854734,20,Increase,Anti-Longevity,anti;20.0;;1657;19030232
1448,SWItching deficient,SWI5,Saccharomyces cerevisiae,,851724,20,Increase,Anti-Longevity,anti;20.0;;1658;19030232
1449,TransALdolase,TAL1,Saccharomyces cerevisiae,,851068,20,Increase,Anti-Longevity,anti;20.0;;1659;19030232
1450,gluconokinase,YDR248C,Saccharomyces cerevisiae,,851835,20,Increase,Anti-Longevity,anti;20.0;;1660;19030232
1451,Ysc84p,YSC84,Saccharomyces cerevisiae,,856409,25,Increase,Anti-Longevity,anti;20.0;;1662;|anti;20.0;;1662;
1452,Ark family Kinase-Like protein,AKL1,Saccharomyces cerevisiae,,852351,20,Increase,Anti-Longevity,anti;20.0;;1664;
1453,Bile Pigment Transporter,BPT1,Saccharomyces cerevisiae,,850645,20,Increase,Anti-Longevity,anti;20.0;;1665;18340043
1454,Bypass of Stop Codon,BSC1,Saccharomyces cerevisiae,,851524,20,Increase,Anti-Longevity,anti;20.0;;1666;18340043
1455,Hypothetical RNA-Binding protein,HRB1,Saccharomyces cerevisiae,,855728,20,Increase,Anti-Longevity,anti;20.0;;1667;18340043
1456,Rfx1p,RFX1,Saccharomyces cerevisiae,,850873,20,Increase,Anti-Longevity,anti;20.0;;1668;18340043
1457,Ribosomal Protein of the Large subunit,RPL19B,Saccharomyces cerevisiae,,852254,20,Increase,Anti-Longevity,anti;20.0;;1669;|anti;20.0;;1669;
1458,Stability of Eisosomes Guaranteed,SEG2,Saccharomyces cerevisiae,,853756,20,Increase,Anti-Longevity,anti;20.0;;1670;18340043
1459,Ribosomal Protein of the Large subunit,RPL12B,Saccharomyces cerevisiae,,852026,20,Increase,Anti-Longevity,anti;20.0;;1671;18340043
1460,Ribosomal Protein of the Large subunit,RPL1B,Saccharomyces cerevisiae,,852742,20,Increase,Anti-Longevity,anti;20.0;;1672;18423200
1461,Ribosomal Protein of the Large subunit,RPL4A,Saccharomyces cerevisiae,,852319,20,Increase,Anti-Longevity,anti;20.0;;1673;18423200|anti;20.0;;1673;18423200
1462,Heme Activator Protein,HAP3,Saccharomyces cerevisiae,,852260,50,Decrease,Unannotated,anti;20.0;;1674;18423200
1463,Histone AcetylTransferase,HAT1,Saccharomyces cerevisiae,,856106,50,Decrease,Unannotated,fitness;50.0;;1677;20883526
1464,MutS Homolog,MSH6,Saccharomyces cerevisiae,,851671,50,Decrease,Unannotated,fitness;50.0;;1678;20883526
1465,Niemann-pick type C Related,NCR1,Saccharomyces cerevisiae,,856101,50,Decrease,Unannotated,fitness;50.0;;1681;20883526
1466,NUclear Pore,NUP170,Saccharomyces cerevisiae,,852199,50,Decrease,Unannotated,fitness;50.0;;1683;20883526
1467,Proteolysis In Mitochondria,PIM1,Saccharomyces cerevisiae,,852259,50,Decrease,Unannotated,fitness;50.0;;1684;20883526
1468,Pathogen Related in Yeast,PRY1,Saccharomyces cerevisiae,,853366,50,Decrease,Unannotated,fitness;50.0;;1685;20883526
1469,Ribosomal Protein of the Large subunit,RPL13B,Saccharomyces cerevisiae,,855173,50,Decrease,Unannotated,fitness;50.0;;1686;20883526
1470,Yeast DihydroCeramidase,YDC1,Saccharomyces cerevisiae,,856018,,Increase and Decrease,Anti-Longevity,fitness;50.0;;1687;20883526|fitness;50.0;;1687;20883526|fitness;50.0;;1687;20883526
1471,AnKyrin Repeat-containing protein,AKR1,Saccharomyces cerevisiae,,851857,50,Decrease,Unannotated,fitness;50.0;;1689;20883526|fitness;50.0;;1689;20883526
1472,Cytochrome OXidase,COX23,Saccharomyces cerevisiae,,856516,50,Decrease,Unannotated,fitness;50.0;;1691;19030232
1473,Degradation Of Alpha,DOA4,Saccharomyces cerevisiae,,851641,50,Decrease,Unannotated,fitness;50.0;;1692;19030232
1474,Required for Respiratory Growth,RRG1,Saccharomyces cerevisiae,,851637,50,Decrease,Unannotated,fitness;50.0;;1693;19030232
1475,SWr Complex,SWC5,Saccharomyces cerevisiae,,852532,50,Decrease,Unannotated,fitness;50.0;;1694;19030232
1476,Tlg2-Vesicle Protein,TVP15,Saccharomyces cerevisiae,,851677,50,Decrease,Unannotated,fitness;50.0;;1695;19030232
1477,Tlg2-Vesicle Protein,TVP23,Saccharomyces cerevisiae,,851657,50,Decrease,Unannotated,fitness;50.0;;1696;19030232
1478,Vacuolar Import and Degradation,VID22,Saccharomyces cerevisiae,,851088,50,Decrease,Unannotated,fitness;50.0;;1697;19030232
1479,Grand Meiotic recombination Cluster,GMC2,Saccharomyces cerevisiae,,851166,50,Decrease,Unannotated,fitness;50.0;;1698;19030232
1480,hypothetical protein,YNR066C,Saccharomyces cerevisiae,,855803,50,Decrease,Unannotated,fitness;50.0;;1699;19030232
1481,Establishment of Silent Chromatin,ESC2,Saccharomyces cerevisiae,,851965,50,Decrease,Unannotated,fitness;50.0;;1700;
1482,Nsr1p,NSR1,Saccharomyces cerevisiae,,853064,50,Decrease,Unannotated,fitness;50.0;;1701;18340043
1483,VeRProlin,VRP1,Saccharomyces cerevisiae,,851051,50,Decrease,Unannotated,fitness;50.0;;1703;
1484,Ans1p,ANS1,Saccharomyces cerevisiae,,856527,25,Decrease,Unannotated,fitness;50.0;;1704;18340043
1485,clathrin Adaptor Protein complex Large chain,APL2,Saccharomyces cerevisiae,,853723,25,Decrease,Unannotated,fitness;25.0;;1705;
1486,Actin-Related Protein,ARP1,Saccharomyces cerevisiae,,856530,40,Decrease,Unannotated,fitness;25.0;;1706;19030232|fitness;25.0;;1706;19030232
1487,ATP synthase,ATP18,Saccharomyces cerevisiae,,854893,40,Decrease,Unannotated,fitness;40.0;;1707;19030232
1488,Calcium Sensitive Growth,CSG2,Saccharomyces cerevisiae,,852324,40,Decrease,Unannotated,fitness;40.0;;1708;19030232
1489,Found in Mitochondrial Proteome,FMP16,Saccharomyces cerevisiae,,851642,40,Decrease,Unannotated,fitness;40.0;;1709;19030232
1490,Lethal with Sec Thirteen,LST7,Saccharomyces cerevisiae,,852948,40,Decrease,Unannotated,fitness;40.0;;1711;19030232
1491,Suppressor of ACtin,SAC6,Saccharomyces cerevisiae,,851707,40,Decrease,Unannotated,fitness;40.0;;1712;19030232
1492,"Set1c, Hypothetical G",SHG1,Saccharomyces cerevisiae,,852561,25,Decrease,Unannotated,fitness;40.0;;1713;19030232
1493,Unscheduled Meiotic gene Expression,UME6,Saccharomyces cerevisiae,,851788,40,Decrease,Unannotated,fitness;25.0;;1714;19030232
1494,WHIskey,WHI2,Saccharomyces cerevisiae,,854208,40,Decrease,Unannotated,fitness;40.0;;1715;19030232
1495,hypothetical protein,YBR225W,Saccharomyces cerevisiae,,852526,40,Decrease,Unannotated,fitness;40.0;;1717;19030232
1496,DNA-damage UNinducible,DUN1,Saccharomyces cerevisiae,,851457,25,Decrease,Unannotated,fitness;40.0;;1718;
1497,carboxyPEPtidase Y-deficient,PEP12,Saccharomyces cerevisiae,,854201,25,Decrease,Unannotated,fitness;25.0;;1723;18340043
1498,Protein Fatty Acyltransferase,PFA3,Saccharomyces cerevisiae,,855390,25,Decrease,Unannotated,fitness;25.0;;1724;18340043
1499,PolyUridylate Binding,PUB1,Saccharomyces cerevisiae,,855716,25,Decrease,Unannotated,fitness;25.0;;1725;18340043
1500,Ribosomal Protein of the Large subunit,RPL6A,Saccharomyces cerevisiae,,854902,25,Decrease,Unannotated,fitness;25.0;;1726;18340043|fitness;25.0;;1726;18340043
1501,Suppressor of ACtin,SAC1,Saccharomyces cerevisiae,,853668,40,Decrease,Unannotated,fitness;25.0;;1727;18340043
1502,Takashi's Protein Kinase,TPK1,Saccharomyces cerevisiae,,853275,40,Decrease,Unannotated,fitness;40.0;;1728;18340043
1503,Ribosomal Protein of the Large subunit,RPL17B,Saccharomyces cerevisiae,,853262,25,Decrease,Unannotated,fitness;40.0;;1729;18340043
1504,Ribosomal Protein of the Large subunit,RPL34A,Saccharomyces cerevisiae,,856784,25,Decrease,Unannotated,fitness;25.0;;1730;18423200
1505,Ribosomal Protein of the Small subunit,RPS4B,Saccharomyces cerevisiae,,856610,25,Decrease,Unannotated,fitness;25.0;;1731;18423200
1506,Ribosomal Protein of the Small subunit,RPS7A,Saccharomyces cerevisiae,,854263,40,Decrease,Unannotated,fitness;25.0;;1733;18423200
1507,Acyl-CoA-Binding,ACB1,Saccharomyces cerevisiae,,852925,,Increase,Anti-Longevity,fitness;40.0;;1734;18423200
1508,Casein Kinase Alpha' subunit,CKA2,Saccharomyces cerevisiae,,854227,,Increase,Anti-Longevity,anti;;;1735;20657825
1509,Deficient in Utilization of Glutathione,DUG1,Saccharomyces cerevisiae,,850605,,Increase,Anti-Longevity,anti;;;1736;20657825
1510,Factor ARrest,FAR10,Saccharomyces cerevisiae,,850939,,Increase,Anti-Longevity,anti;;;1737;20657825
1511,Factor ARrest,FAR8,Saccharomyces cerevisiae,,855044,,Increase,Anti-Longevity,anti;;;1738;20657825
1512,Long-Chain Base,LCB3,Saccharomyces cerevisiae,,853307,,Increase,Anti-Longevity,anti;;;1740;20657825
1513,Mns1p,MNS1,Saccharomyces cerevisiae,,853595,,Increase,Anti-Longevity,anti;;;1741;20657825
1514,PEroXisome related,PEX25,Saccharomyces cerevisiae,,855991,,Increase,Anti-Longevity,anti;;;1742;
1515,PaXillin-Like protein,PXL1,Saccharomyces cerevisiae,,853965,,Increase,Anti-Longevity,anti;;;1743;20657825
1516,Suppressor gene for FLocculation,SFL1,Saccharomyces cerevisiae,,854307,,Increase,Anti-Longevity,anti;;;1744;20657825
1517,TRna Methyltransferase,TRM9,Saccharomyces cerevisiae,,854994,,Increase,Anti-Longevity,anti;;;1745;20657825
1518,Nitrogen Network Kinase,NNK1,Saccharomyces cerevisiae,,853683,,Increase,Anti-Longevity,anti;;;1746;20657825
1519,hypothetical protein,YOR012W,Saccharomyces cerevisiae,,854177,,Increase,Anti-Longevity,anti;;;1747;20657825
1520,INositol polyphosphate 5-Phosphatase,INP54,Saccharomyces cerevisiae,,854089,,Increase and Decrease,Anti-Longevity,anti;;;1748;|anti;;;1748;|anti;;;1748;
1521,Pmt7p,PMT7,Saccharomyces cerevisiae,,851902,30,Increase,Anti-Longevity,anti;30.0;;1751;19030232
1522,hypothetical protein,YER186C,Saccharomyces cerevisiae,,856935,30,Increase,Anti-Longevity,anti;30.0;;1752;
1523,hypothetical protein,YER187W,Saccharomyces cerevisiae,,856937,30,Increase,Anti-Longevity,anti;30.0;;1753;
1524,Aspartate-Glutamate Carrier,AGC1,Saccharomyces cerevisiae,,856132,30,Increase,Anti-Longevity,anti;30.0;;1754;
1525,Las Seventeen Binding protein,LSB1,Saccharomyces cerevisiae,,853037,30,Increase,Anti-Longevity,anti;30.0;;1755;18340043
1526,p53 Regulatory Kinase,PRK1,Saccharomyces cerevisiae,,854713,30,Increase,Anti-Longevity,anti;30.0;;1756;18340043
1527,hypothetical protein,YMR010W,Saccharomyces cerevisiae,,855022,30,Increase,Anti-Longevity,anti;30.0;;1757;18340043
1528,Ribosomal Protein of the Large subunit,RPL13A,Saccharomyces cerevisiae,,851477,30,Increase,Anti-Longevity,anti;30.0;;1758;
1529,Ribosomal Protein of the Large subunit,RPL21A,Saccharomyces cerevisiae,,852489,30,Increase,Anti-Longevity,anti;30.0;;1759;18423200
1530,Mitotic Arrest-Deficient,MAD2,Saccharomyces cerevisiae,,853422,50,Increase,Anti-Longevity,anti;30.0;;1760;18423200
1531,Asparagine-Linked Glycosylation,ALG5,Saccharomyces cerevisiae,,855874,50,Increase,Anti-Longevity,anti;50.0;;1762;20883526
1532,Derepression of ITR1 Expression,DIE2,Saccharomyces cerevisiae,,853142,50,Increase,Anti-Longevity,anti;50.0;;1763;20883526
1533,HnRNP MethylTransferase,HMT1,Saccharomyces cerevisiae,,852322,50,Increase,Anti-Longevity,anti;50.0;;1764;20883526
1534,Iron-sulfur cluster assembly factor for Biotin synthase and Aconitase-like mitochondrial proteins,IBA57,Saccharomyces cerevisiae,,853586,50,Increase,Anti-Longevity,anti;50.0;;1765;20883526
1535,Las Seventeen Binding protein,LSB6,Saccharomyces cerevisiae,,853345,50,Increase,Anti-Longevity,anti;50.0;;1766;20883526
1536,Pachytene CHeckpoint,PCH2,Saccharomyces cerevisiae,,852484,50,Increase,Anti-Longevity,anti;50.0;;1767;20883526
1537,PHOsphate metabolism,PHO89,Saccharomyces cerevisiae,,852599,50,Increase,Anti-Longevity,anti;50.0;;1768;20883526
1538,Stress-Seventy subfamily A,SSA3,Saccharomyces cerevisiae,,852203,50,Increase,Anti-Longevity,anti;50.0;;1769;20883526
1539,Utilization of GAba,UGA1,Saccharomyces cerevisiae,,852902,50,Increase,Anti-Longevity,anti;50.0;;1770;20883526
1540,Yeast Tat-binding Analog,YTA7,Saccharomyces cerevisiae,,853186,50,Increase,Anti-Longevity,anti;50.0;;1771;20883526
1541,Bem1 (One) Interacting protein,BOI2,Saccharomyces cerevisiae,,856850,25,Increase,Anti-Longevity,anti;50.0;;1772;20883526
1542,CLn Activity dependant,CLA4,Saccharomyces cerevisiae,,855418,60,Decrease,Unannotated,anti;25.0;;1773;19030232|anti;25.0;;1773;19030232
1543,CaRnitine Carrier,CRC1,Saccharomyces cerevisiae,,854267,25,Increase,Anti-Longevity,fitness;60.0;;1774;19030232|fitness;60.0;;1774;19030232
1544,GIg1-2 Suppressor,GIS1,Saccharomyces cerevisiae,,851670,25,Increase,Anti-Longevity,anti;25.0;;1775;19030232
1545,PhosphatidylInositol(3)-phosphate Binding,PIB1,Saccharomyces cerevisiae,,851908,25,Increase,Anti-Longevity,anti;25.0;;1777;19030232|anti;25.0;;1777;19030232
1546,Synthetic Lethal with ABP1,SLA1,Saccharomyces cerevisiae,,852276,60,Decrease,Unannotated,anti;25.0;;1778;19030232
1547,TOPoisomerase,TOP1,Saccharomyces cerevisiae,,854156,60,Decrease,Unannotated,fitness;60.0;;1781;19030232
1548,VAcuolar Morphogenesis,VAM3,Saccharomyces cerevisiae,,854273,60,Decrease,Unannotated,fitness;60.0;;1782;19030232|fitness;60.0;;1782;19030232
1549,Vma21p,VMA21,Saccharomyces cerevisiae,,852997,60,Decrease,Unannotated,fitness;60.0;;1783;19030232
1550,Vma6p,VMA6,Saccharomyces cerevisiae,,851168,60,Decrease,Unannotated,fitness;60.0;;1784;
1551,late ENdosome and Vacuole interface function,ENV11,Saccharomyces cerevisiae,,852962,60,Decrease,Unannotated,fitness;60.0;;1785;
1552,hypothetical protein,YLR422W,Saccharomyces cerevisiae,,851141,25,Increase,Anti-Longevity,fitness;60.0;;1786;19030232
1553,ADP/ATP Carrier,AAC3,Saccharomyces cerevisiae,,852380,15,Increase,Anti-Longevity,anti;25.0;;1787;
1554,Dst1-delta 6-Azauracil Sensitivity,DAS2,Saccharomyces cerevisiae,,851583,25,Increase,Anti-Longevity,anti;15.0;;1788;18340043
1555,DumbBell Forming,DBF2,Saccharomyces cerevisiae,,852984,60,Decrease,Unannotated,anti;25.0;;1790;18340043
1556,Mir1p,MIR1,Saccharomyces cerevisiae,,853540,25,Increase,Anti-Longevity,fitness;60.0;;1791;18340043
1557,Psi+ INducibility,PIN3,Saccharomyces cerevisiae,,856277,15,Increase,Anti-Longevity,anti;25.0;;1793;
1558,Pkb-activating Kinase Homolog,PKH1,Saccharomyces cerevisiae,,852101,15,Increase,Anti-Longevity,anti;15.0;;1794;18340043
1559,Rieske Iron-sulfur Protein,RIP1,Saccharomyces cerevisiae,,856689,15,Increase,Anti-Longevity,anti;15.0;;1795;18340043
1560,Stress-inducible Dual specificity Phosphatase,SDP1,Saccharomyces cerevisiae,,854693,25,Increase,Anti-Longevity,anti;15.0;;1796;18340043
1561,Ribosomal Protein of the Large subunit,RPL33B,Saccharomyces cerevisiae,,854409,15,Increase,Anti-Longevity,anti;25.0;;1798;18340043
1562,Ribosomal Protein of the Large subunit,RPL35B,Saccharomyces cerevisiae,,851419,25,Increase,Anti-Longevity,anti;15.0;;1802;18423200
1563,Ribosomal Protein of the Large subunit,RPL8B,Saccharomyces cerevisiae,,850682,25,Increase,Anti-Longevity,anti;25.0;;1803;18423200
1564,INositol Monophosphatase,INM1,Saccharomyces cerevisiae,,856442,,Increase and Decrease,Anti-Longevity,anti;25.0;;1804;18423200|anti;25.0;;1804;18423200|anti;25.0;;1804;18423200
1565,Inositol Polyphosphate Kinase,IPK1,Saccharomyces cerevisiae,,851910,40,Increase,Anti-Longevity,anti;;;1805;16293764|anti;;;1805;16293764
1566,LINk,LIN1,Saccharomyces cerevisiae,,856561,40,Increase,Anti-Longevity,anti;;;1806;16293764|anti;;;1806;16293764
1567,Vacuolar Basic Amino acid transporter,VBA5,Saccharomyces cerevisiae,,853980,,Increase,Anti-Longevity,anti;;;1807;16293764
1568,Outer Membrane,OM45,Saccharomyces cerevisiae,,854670,,Increase,Anti-Longevity,anti;;;1809;16293764
1569,CYStathionine beta-synthase,CYS4,Saccharomyces cerevisiae,,853059,50,Increase,Anti-Longevity,anti;;;1812;16293764
1570,ALdehyde Dehydrogenase,ALD4,Saccharomyces cerevisiae,,854556,50,Increase,Anti-Longevity,anti;50.0;;1813;20883526
1571,Drs2 Neo1 Family,DNF1,Saccharomyces cerevisiae,,856913,50,Increase,Anti-Longevity,anti;50.0;;1814;20883526
1572,PyriDoXine auxotrophy,PDX3,Saccharomyces cerevisiae,,852323,50,Increase,Anti-Longevity,anti;50.0;;1815;20883526
1573,PhosphoRibosylpyrophosphate Synthetase,PRS3,Saccharomyces cerevisiae,,856375,50,Increase,Anti-Longevity,anti;50.0;;1816;20883526
1574,RNase H,RNH201,Saccharomyces cerevisiae,,855652,50,Increase,Anti-Longevity,anti;50.0;;1817;20883526
1575,UBiquitin-Conjugating,UBC12,Saccharomyces cerevisiae,,851015,50,Increase,Anti-Longevity,anti;50.0;;1818;20883526
1576,Alcohol Dehydrogenase Regulator,ADR1,Saccharomyces cerevisiae,,851802,35,Decrease,Unannotated,anti;50.0;;1819;20883526
1577,Growth Inhibitory,GIN4,Saccharomyces cerevisiae,,852119,35,Decrease,Unannotated,fitness;35.0;;1820;19030232|fitness;35.0;;1820;19030232
1578,Glutathione PeroXidase,GPX2,Saccharomyces cerevisiae,,852546,35,Decrease,Unannotated,fitness;35.0;;1822;19030232
1579,LOCalization of ASH1 mRNA,LOC1,Saccharomyces cerevisiae,,850551,40,Increase,Anti-Longevity,fitness;35.0;;1823;19030232
1580,Maintenance of Telomere Capping,MTC5,Saccharomyces cerevisiae,,851706,35,Decrease,Unannotated,anti;40.0;;1827;19030232
1581,hypothetical protein,YDR132C,Saccharomyces cerevisiae,,851710,35,Decrease,Unannotated,fitness;35.0;;1828;19030232
1582,Yeast Phyto-Ceramidase,YPC1,Saccharomyces cerevisiae,,852481,15,Decrease,Unannotated,fitness;35.0;;1829;
1583,Chromosome STability,CST26,Saccharomyces cerevisiae,,852330,40,Increase,Anti-Longevity,fitness;15.0;;1830;19030232
1584,Las Seventeen Binding protein,LSB3,Saccharomyces cerevisiae,,850580,40,Increase,Anti-Longevity,anti;40.0;;1831;18340043
1585,SET domain-containing,SET2,Saccharomyces cerevisiae,,853271,15,Decrease,Unannotated,anti;40.0;;1833;18340043
1586,"Set1c, WD40 repeat protein",SWD3,Saccharomyces cerevisiae,,852472,15,Decrease,Unannotated,fitness;15.0;;1834;18340043
1587,Ribosomal Protein P1 Beta,RPP1B,Saccharomyces cerevisiae,,851427,40,Increase,Anti-Longevity,fitness;15.0;;1835;18340043
1588,Ribosomal Protein of the Small subunit,RPS17A,Saccharomyces cerevisiae,,854984,15,Decrease,Unannotated,anti;40.0;;1837;18423200
